,"le vent dans les arbres, bonjour",0
,"bisous bonjour !",0
,"concombres, bonjour",0
,"ni en avance ni en retard, bonjour",0
,"ecrire, ecrire, bisous",0
,"le bruit du train de saint malo, bonjour",0
,"mon assiette est vide ! bisous",0
,"j'y pense, bisous",0
,"Tous les jours bonjour",0
,"ou donc ? ici. bisous",0
,"bambou au caramel",0
,"porc au caramel galopant, bisous",0
,"de porc au caramel et d'eau fraîche, je t'embrasse",0
,"Derrick à la recherche du R de Charles, bisous",0
,"petit paul est plus grand que moi, bisous",0
,"la nourriture de l'esprit est servie, bisous",0
,"ne rien faire c'est bien aussi, bisous",0
,"l'art d'être là, bisous",0
,"ici ou ailleurs ? bonjours",0
,"ne pas savoir pourquoi est la meilleure raison, bisous",0
,"le flux infini de la vie dit bonjour",0
,"Dieu c'est moi et c'est toi ! Bisous",0
,"Notre père qui est aux cieux dit bonjour à tout le monde",0
,"ajouter, soustraite, bisous",0
,"hier, aujourd'hui, demain : bisous",0
,"je pense à toi, bonjour",0
,"reposons-nous, bisous",0
,"bon jour bon bisous",0
,"ruojnob",0
,"salut mamie",0
,"je t'écris ! bisous",0
,"un petit mot",0
,"trois petits mots",0
,"Un bonjour, un bisou",0
,"Une pensée en cinq mots",0
,"bisou, c'est tout",0
,"bonjour, simplement",0
,"Bonne journée.",0
,"Bisou du jour de la journée d'aujourd'hui",0
,"Qui lira ceci ? bisou",0
,"je suis aux manettes, bisous",0
,"Des fois je travaille, des fois non. Bisous",0
,"Et recommencer. Bisous",0
,"Pollen en hiver ? bisous",0
,"caché dans la laine, l'agneau, bisous",0
,"toile d'araignée, géométrie parfaite, je t'embrasse",0
,"bambous enneigés, se courbent pour dire bonjour",0
,"la noix croque. bonjour",0
,"la brume, bisous",0
,"un livre oublié, bisous",0
,"un bonjour dans le vent",0
,"un bisou dans les nuages",0
,"les oliviers, je t'embrasse",0
,"comme mon père j'adore le piment, je t'embrasse",0
,"Des dragons .. je les embrasse",0
,"Des béliers t'embrassent",0
,"le clapotis, je t'embrasse",0
,"Rien n'est retenu, bisous",0
,"Tout passe, comme les nuages, bisous",0
,"Tensions dissoutes, bisous",0
,"Je fais mes contractions, bisous",0
,"Je respire par les orteils, t'embrasse",0
,"Contractions faites, je t'embrasse",0
,"Respiration du ventre, bisous",0
,"Grandes narines, je t'embrasse",0
,"Humer les joues, et dire bonjour mamie",0
,"Du riz, des bisous",0
,"Le piano rigolo, bisous",0
,"Des histoires partout tout le temps, bisous",0
,"la bonté du cerveau, bisous",0
,"l'intelligence du coeur, bonjour",0
,"le deuxième cerveau dit bonjour",0
,"mes neurones intestinaux vont bien, bonjour",0
,"mamie au beurre, bonjour",0
,"j'ai pensé à monsieur l'abbé, bonjour mamie",0
,"ptit quinquin dit bonjour",0
,"chouette dit le hibou, bisou",0
,"le soleil s'aggripe, bisous",0
,"petite lune, bisous",0
,"tous les jours : bonjours",0
,"on fait ce qu'on peut ! bonjour",0
,"on fait ce qu'on veut ! bonjour",0
,"les papas sont pas là, n'empeche : bisous",0
,"le matin le soleil, bisous",0
,"des fleurs, un peu quand même, bisous",0
,"un peu d'amour, bisous",0
,"retenues ! bisous",0
,"Charles est-il heureux ? Oui ! Bisous",0
,"Bonjour Agnès",0
,"Bisous Agnès",0
,"J'aime quand Eugénie m'appelle, de loin : CHARLES !! Bisous",0
,"Louison le bouchon, bisous",0
,"On est là, bisous",0
,"Aujourd'hui, bisous",0
,"Aujourd'hui, bonjour",0
,"Comme hier : bonjour",0
,"Comme demain : bonjour",0
,"Tout est doux, bisous",0
,"Tout est rugueux, bisous",0
,"L'imprévu, bisous",0
,"Je n'ai plus faim ! Bisous",0
,"C'est court : bisous",0
,"la rime avec Bonjour",0
,"tous les jours, oui, bisous",0
,"une rotation, bisous",0
,"pas tout à fait une révolution : bisou",0
,"pétales, bisous",0
,"papier fâché ? bisous",0
,"plume qui dort, bisous",0
,"la rousseur de l'écureuil, bisous",0
,"coucou hibou, bisous",0
,"vacances permanentes, bisous",0
,"à l'église partout, bisous",0
,"je prie, bisous",0
,"nous prions, bisous",0
,"coquelicots ! bisous",0
,"ça sent le pâté ! bisous",0
,"je t'ennuie un peu j'espère! Bisous !",0
,"j'ai vu dieu, une fois ! bisous",0
,"une cascade, la vie, bisous",0
,"le puit sans fond ! bisous",0
,"les yeux sourient, bisous",0
,"j'ai bientôt 40 ans, bisous",0
,"le sabre, parfois. Bisous",0
,"crachons un peu de feu. je t'embrasse",0
,"madame chang, bonjour",0
,"ici charles chang, bisous",0
,"l'occasion fait le bonjour",0
,"un jour paul m'a dit : j'ai trop de liberté, c'est difficile ! bisous",0
,"oui je sais, bisous !",0
,"il y a dejà tellement de choses, pourquoi faire quelque chose ? des bisous",0
,"inspiration, expiration: bonjour",0
,"ce qu'on a, ce qu'on veut, ce dont on a besoin : un bonjour",0
,"gagner sa vie en disant : bonjour ! ",0
,"maintenant, plus tard, jamais trop tard : bonjour",0
,"thé vert dans une tasse blanche avec une ligne bleue : bonjour",0
,"le soleil, se couche, et recommence : bonjour",0
,"merci de lire ceci ! bonjour",0
,"attendre. bonjour",0
,"heureusement, un jour, je ferais quelque chose d'exceptionnel ! bonjour mamie",0
,"jusqu'ici, très bien, très très bien, bonjour mamie",0
,"l'espace entre rien et presque rien : bonjour mamie",0
,"d'ici à là, aller et retour : bonjour mamie",0
,"la chose la plus importante dans la vie : bonjour mamie",0
,"chirac, mitterand, et bonjour mamie",0
,"absurde ? bonjour mamie",0
,"la chose rigolote avec l'argent, c'est que ça fait faire des choses qu'on n'a pas envie de faire. Bonjour mamie!",0
,"le temps passe. bonjour mamie",0
,"tous les matins je me lève, bonjour mamie",0
,"une chute d'eau, bonjour mamie",0
,"nicolas hulot m'envoie trop d'emails, mais moi j'en envoie jamais assez : bonjour mamie",0
,"pour la planète : des bisous",0
,"pour toi : bisous",0
,"bonjour bonjour mamie",0
,"salutations à ma grand-mère",0
,"ma mamie : bonjour",0
,"hello mamie",0
,"salut mamie bisous",0
,"mamie : bonjour",0
,"soufflons mamie, bonjour",0
,"respirons mamie, bonjour",0
,"soyons heureux mamie, bonjour",0
,"magie mamie bonjour",0
,"idéalement bonjour mamie",0
,"affectueusement bonjour mamie",0
,"pensées pour toi mamie",0
,"simplement bonjour mamie",0
,"mamie je te souhaite une bonne journée",0
,"je te souhaite le bon jour",0
,"une agréable journée",0
,"jour fleuri bonjour",0
,"de la poesie, bonjour",0
,"bisous genoux",0
,"la radio, bisous",0
,"un nouveau jour, bisous",0
,"un nouveau bonjour",0
,"toujours là, bisous",0
,"bisou au présent",0
,"bonjour au présent",0
,"présence du bisou",0
,"présence du bonjour",0
,"dieu m'a donné le foie, bonjour",0
,"enfant du soleil, bonjour",0
,"tu parcoures la terre le ciel, bonjour",0
,"réussite sans faille mamie, bonjour",0
,"et oui ! bisous mamie",0
,"tout est possible, bisous mamie",0
,"je suis dans le futur ! bisous mamie",0
," tout sourire , bisous mamie",0
,"concombres miam miam bisous",0
,"purée à l'huile d'olive, bisous",0
,"le monde est idiot, bisous",0
,"la force. bonjour mamie",0
,"perséverance. bonjour mamie",0
,"sublime. bonjour mamie",0
,"le mystère ? bonjour mamie",0
,"parfois j'ai sommeil. bonjour mamie",0
,"tout ça ... bonjour mamie",0
,"je suis bref .. bonjour mamie",0
,"ténacité ! bonjour mamie",0
,"c'est drôle, bonjour mamie",0
,"rien d'urgent, juste bonjour",0
,"rien d'urgent juste un bisou ! ",0
,"un endroit merveilleux, bonjour",0
,"des fois la tempête, bonjour mamie",0
,"gris, bonjour mamie",0
,"tonerre ! Bonjour mamie",0
,"mille sabords, bonjour mamie",0
,"un album de tintin de ton fils, bonjour mamie",0
,"trois enfants, quatre petits-enfants et trois petits-petits-enfants, tu te rends compte quand même ? bonjour mamie",0
,"bon ou mauvais on a essayé ! bisous mamie",0
,"ni trop ni trop peu, bonjour mamie",0
,"j'y suis presque, bonjour mamie",0
,"inutile ! bonjour mamie",0
,"simple comme bonjour mamie",0
,"les pierres. bonjour mamie",0
,"c'est juste un bonjour",0
,"c'est juste un bisous",0
,"juste : bonjour",0
,"juste : bisou",0
,"bonjour",0
,"bisou",0
,"heureux comme un pull, bonjour",0
,"la magie des poissons, bonjour",0
,"il fait chaud dans ton pays, bonjour",0
,"tout le monde est là, bisous",0
,"les yeux qui piquent, bonjour",0
,"bisous du bonjour",0
,"jour de bisou",0
,"atelier bisou",0
,"wesh mamie",0
,"hello mamie",0
,"bonjour mamie. c'est tout.",0
